DEREIA EGOISMO LEREIA
NOSSOVENCEDOR OUREMBLEM SECRETPOINT
CHARMEOFGOLD HYPNOTISEUR DANIFIORE
THELASTHOPE KNOWHEIGHTS MASHAIR
JOKENPO CHOCTAWRIDGE JOKINGASIDE
PIMENTINHAFRIEND NEDAWI INABALAVEL
EMMYAWARDS PITUDAGUANABARA CORPULENTA
GRANDPLACE PLAYVIOLIN GLAURA
IDONEO MIESQUESSON BEHONEST
CAPITANPUNK CHICOCORREDOR LAGUNAPORA
UNOAMOREMIO SIGNALTAP NAMORADINHA
VESPABELA TORRENTIAL ENGELHEART
YOUARETHEBEST ASTORPLACE VESPERA
NOTUNG CHOCTAWRIDGE LAZERLIL
OTIMISTADEOURO ESPORADEOURO ESSACAMPEA
ZANGARVA NELEO MAGDALENA
TANTOQUANTO ROMARIN TALEEQUALE
COSMICCOLOR SIPHON CYBILL
PORTOAMPARO FACTORYORDER KADISHA
JULIAO NEDAWI EIGHTHGREEN
ESTUPENDONIZO PUBLICPURSE ONLYTHEFIRST
MUNDOREAL DUBAIDUST FORLISETTE
PRINCESSEZAHRA FIRSTAMERICAN QUETEMPRANA
YAROSLAV FIRSTAMERICAN IBUSH
SOFIASCHOICE KNOWHEIGHTS DREAMOFSINLESS
LIBERTANGO ROMARIN HAPPYSTAR
VELOZEFURIOSA PUTITBACK NAVALHAFILATA
CARLOBRONCO RAFABOY GAROTAREAL
WENDYDOFAXINA ASTORPLACE MISSFAXINA
YESTERDAYGOLD ROMARIN MIDOU
FEITOOCARRETO CHRISTINESOUTLAW DRACMA
CHEVALLIER REDRUNNER GOMMEDARABIE
TATODEMESTRE WAIMEASUPER IDEIAMALUCA
UNIFICAZIONE OUREMBLEM NOMENCLATURE
ULTRACOLOR WILDEVENT OILCOLOR
XIQUENOURTIMO ROMARIN UMBER
GAMBETERO TORRENTIAL RASTACUERA
CAPUCCINOROSSO WONDERTROSS CORONAAUSTRALIS
CONCLUSIVO NELEO UNORVILENA
UNIAOFATAL OUREMBLEM COUNTRYBABY
GRANDIASK YAGLI OLAIASK
DESEJADAFREE GILDEDTIME KEEPFREE
MARACANGALHA ASTORPLACE POLYNAMIA
JIBOIADEBIRIGUI BANKING CASUALTALK
JAIBABA MIESQUESSON SENORANUESTRA
PRETTYBELLA NEDAWI WINNERSROAD
CHRISTMASNIGHT MIESQUESSON LARASCASSE
WALKINGALONG SPECIALNASH OUTANDGOING
MESTREGARBOSO TOPSIZE MADAMESENSUAL
AMERICANSTORM HARDBUCK ALWAYSYOU
ERMENEGILDA PITUDAGUANABARA KENTUCKYBLUSH
OLYMPICMESSAGE WILDEVENT MERECATHERINE
JOLIECHRIS GILDEDTIME HONEYCHRIS
VONBRAUN MIESQUESSON ATOMICLADY
GOOGLE SPECIALNASH MADAMEJULIE
REFUGEE GILDEDTIME ROLETTE
CISNEBRANCO LODE CIRANDINHA
CISNEBRANCOARG LODE CIRANDINHA
MANZANA BERNSTEIN MAMMAALLEGRA
ZAZAGIRL MIESQUESSON VERAMOSSA
CABECAO ROINORMAND MURAKAMI
ORGOGLIO VACILADOR IVINHEMA
ENCIUMADOURU PITUDAGUANABARA REFINED
XOKOLOVE WONDERTROSS FREETOLOVE
WHYSOPRETTY JUMPINGJACK KRASOTKA
UNBELINI PUTITBACK PENAMAXIMA
ASTROWONDER WONDERTROSS ESTRELADEROMA
ZUMNORMAND ROINORMAND MANEIRISSIMA
ESTRELADASGERAIS PUBLICPURSE HAUTECOUTURE
NOSTAMBEM WILDEVENT NIVELADORA
STARLOVE INDIANCHARLIE SOLIDPLATINUMGIRL
CAROLSSTREET STREETCRY SUMMERSYMPHONY
OLYMPICBALLERINA HARLANSHOLIDAY BALANCOIRE
SOIEDECHINE SELKIRK ROBECHINOISE
TRADEBALANCE GIANTSCAUSEWAY EFFICIENTLY
GOLTRICOLOR NORTHLIGHT MAIOUEST
SAARA GHOSTZAPPER FOLLOW
EMCEE UNBRIDLEDSSONG SURFCLUB
AREBABA ALDEBARAN ELLEMEME
SALTO PIVOTAL DANZIGAWAY
FIJIMAMBO KINGMAMBO FIJI
AROMAPERFEITO ROYALACADEMY PERFECTBLEND
RODERICOCONNOR GALILEO SECRETGARDEN
RODRICOCONNOR GALILEO SECRETGARDEN
GREGA STREETCRY HANNABARBERA
DIDNOTSTUTTER BERNARDINI SHESAYSITBEST
PIPPA BELONGTOME MADOUR
MYPERFECTLIGHT PERFECTSOUL THISLILLIGHTOFMINE
ALLEGREZZA GRANDSLAM GIOIA
FLYINGTRIP TRIPPI DAMESYLVIEGUILHEM
GOLDOTITULO ROCKHARDTEN JULIESANGEL
STARMINA THEATRICAL STARRANSOM
OLYMPICTHUNDER DURBANTHUNDER CUTELITTLEBEAR
GANDALFTHEGREY PUBLICPURSE DECIMAARTE
NAGUILE SHUDANZ VIEWAVENUE
FLEX HYPNOTISEUR GOLDENMILL
DIDIMO NEDAWI QUALIBET
ARAODOFAXINA NUGGETDOFAXINA JUNONA
DOUBLEPOWER PUBLICPURSE POWERREFERENCE
OLYMPICZONE SKICHAMP GRAZIELLE
NATIVESMILE TORRENTIAL JAUNTYSMILE
JAGUARIUNABELA HIBERNIANRHAPSODY ZIKAVALLA
UNICORNIODOBAFRA NORTHERNAFLEET NEWRAFAELA
LAMPEIRO REDRUNNER NUMEROUNO
ESTRELADAGUA FIRSTAMERICAN OURLUCKYGIRL
POLE MUSICPROSPECTOR POPOZUDA
IGNITION BOATMAN ORLAMARINHA
OLHARINOCENTE KNOWHEIGHTS INNOCENTFANTASY
LAFASCINANTE LODE LAFORNARINA
QUADROVIVO NORTHERNAFLEET LAPROFESSORESSA
JOYRZARO NORWAYBOY RUNAWAY
ESTRELADOIGUASSU TIGERHEART KEEPTHEMAGIC
DEXITROM URODONAL REBEQUISTA
ATIVARE TIGERHEART HOLYWOMAN
BROWSER TIGERHEART SCHOLASTIC
ALDADOFAXINA WONDERTROSS OLIVIADOFAXINA
MRATAMIX CHOCTAWRIDGE ATAMIX
GARDENKEEPER CRIMSONTIDE QUEROFAMA
VIOLADEPRATA MENSAGEIROALADO DRINKINGTIME
NOSSAPROSA REDATTORE TODAPROSA
PRINCIVILLE ROMARIN KISMY
POKERFACE WILDEVENT POWERSOUND
BARBARASTORM METEORSTORM LUCKYMINISTER
VYBORNE AMERICANGIPSY CUCALEGAL
FURIABIANCA FAHIM ELSAVONBRABANT
PENINSULABELA SULAMANI EVENCEDORA
ZAMBEZE TORRENTIAL OUTRACELINA
OLYMPICVIKING HIBERNIANRHAPSODY UNIARUMBA
ZALJIZ PUBLICPURSE ZALDAM
DOUBLESECRET TOPSIZE MADAMDUBOIS
NOTORIOUSBIG TORRENTIAL FLEURUNIQUE
EVADEITATIBA DODGE PETRELLA
COMANDANTEFAHIM FAHIM OPERADIGLORY
BEEMOVIE GORYLLA JANELOVE
DANICALIFORNIA METEORSTORM INSTINTOSELVAGEM
UMAXIMO NORTHERNAFLEET MAGICRAFAELA
DURODEMATAR METEORSTORM VEJINHA
IVANLENDEL SKICHAMP BIGBLADE
FROMAFRICA SPECIALNASH ORI
PENTAGONO ESPORADEOURO DIANAGIRL
LUCKYDEYJUR EYJUR EPRIMAVERA
OLYMPICDRAW KNOWHEIGHTS MARAVILHOSA
DEVOLUTO REDRUNNER LEIDOSUL
SKYFLYER SHUDANZ GRANADADEMAO
OLYMPICPANTANAL EYJUR ABRELARAYA
CORSARIOTREMPOLI REDATTORE EMISSORAREGIONAL
JOGODOBEM SULAMANI ETOILEDUBRESIL
TALEBAN TORRENTIAL TATUSHKA
PORAQUI BANKING HIPERCORREDORA
LORDFELIPE NEDAWI PRINCESSJUJU
TCHELONA NORTHERNAFLEET PRECIOUSZUCA
GAMBLER PUBLICPURSE POPCORN
LUCCICAFORTUNA TIGERHEART PLIMPLIM
DONAELAYNE TORRENTIAL ZOECHANEL
ALTAVISTA AMIGONI BELLACY
DANCADOVENTRE CHOCTAWRIDGE TRIBECA
SUPERGUTO HOLZMEISTER GREATPEACE
QUEFIJA NEDAWI FATTAPERVINCERE
VIAJET WILDEVENT QUILUCE
FUSILI PUBLICPURSE BOAEBELA
FULLPOKET QAIS WREATH
IGOTTAFEELING SKICHAMP APOSTACERTA
ATENTI DURBANTHUNDER NICELIPS
VECTOR KNOWHEIGHTS QUARTICA
FLOWERPUNK TOPSIZE MADCAROLINA
QUEORDER FACTORYORDER GAINSCURRENT
ASTROVERDE FRITZ VERTICE
GATESOFHAVEN PUBLICPURSE UMABRASA
ZAFIRA REDATTORE EDYLLIA
OLYMPICINCOME SHUDANZ INGRACIA
ESCULTURAL SULAMANI ESTRUTURAL
ATACAMA AMIGONI LONDRINA
OPTIMUSMAXIMUS CHOCTAWRIDGE OLIMPIAQUICK
TOPFALCON FALCONFLY MIMBI
TERTULIANO GREGORIANO JAPIRACA
DESEJOINFINITO NEDAWI FELICIDADEBELA
MITOLOGICO SULAMANI MATIARA
QUANTOEBELLA FAHIM JUJUGLORY
VENICEGIRL HIBERNIANRHAPSODY PAPEETESGIRL
UTMOSTQUALITY KNOWHEIGHTS NOTAFISCAL
UNACABEZA LEROIDESANIMAUX POTRAFABULOUS
OLYMPICBULLET NORTHERNAFLEET OURCHARM
THUNDERMISS DURBANTHUNDER MIRABILIS
JOIADEARUMBA HIBERNIANRHAPSODY XOUDEARUMBA
OLYMPICIBERIAN HIBERNIANRHAPSODY IMPATIENT
FULLMOON INEXPLICABLE BOMBILLA
NUTCRACKER FANTASTICDANCER COUPOLE
FOGODIVINO FRITZ KYANITE
VOADEIRA ONWARDROYAL JAMAICAROAD
ABRACADABRAFAXINA SPECIALNASH FIFYFOFUM
DRESSEDTOKILL SULAMANI VALENTINEDAY
ZAHARA AMIGONI MARINADIMASSA
ARAMAICO FAHIM PROSPERIDADE
NANAVELOZ FRITZ RICCHEZZA
DINOVO SULAMANI DITESMOI
SARADELORENA YAGLI FASHIONFILE
ANGICO AMIGONI LASH
GATTOPARDO KNOWHEIGHTS ORIENTALQUEEN
DESCOLADA METEORSTORM LIGHTNINGRIDGE
AROEIRA TIGERHEART JUSTWITHME
BLUDITORRENTIAL TORRENTIAL AUANAGANA
CONFIDENTIALLADY AMIGONI PASSINGNOTE
BESETZT HIBERNIANRHAPSODY BELAARUMBA
EPICGLORY NORBA UNIQUEGLORY
EMOCAOESTRANGEIRA ROMARIN INAIMA
SULBLUE SULAMANI BLUEXENRY
SECRETARIA DURBANTHUNDER NATTYHEIGHTS
TURBINAAEREA INEXPLICABLE MENSAGEMAEREA
UIRAPURU NORTHERNAFLEET SWEETETERNITY
LAMBANCA REDATTORE QUICKEMPIRE
VADAABORDO REDATTORE PACEÑA
TARRAGON DURBANTHUNDER EGILDA
TROVOADA DURBANTHUNDER BERIS
RASTILLE FAHIM LABASTILLE
TOMJOE INEXPLICABLE THATISALL
HOLLISTER MASTROLORENZO GALLATIA
DUBONE NEDAWI IGARA
BANDIDOCORAZON PITUDAGUANABARA ULTIMOAMORE
ICEDWHISKY REDATTORE THIRDWHISKY
DOUBLEFLUKE REDRUNNER COPACABANABEACH
AOLIMPICA ROMARIN APRIMOGENITA
VOLLY WILDEVENT JOLLYHOOP
LOGAN PUBLICPURSE DIVINAFLOWER
ASTOR BONAPARTISTE BEAUTIFULRAFAELA
FADINGWAVE GIANTGENTLEMAN COLONYOFLOVE
ZUZUPROFILE MUSICPROSPECTOR SHARPPROFILE
LACENDREE NEDAWI DIOR
PINTACUDA NORWAYBOY LINDAAPPLE
CHANSONNIER SKICHAMP CHACA
LOMEJOR SULAMANI LAROMAINE
GABILU TRUECONFIDENCE LATRADICION
MAGARI AMIGONI MAJACA
CARAMBA BLADEPROSPECTOR EXCLUSIVELYGREY
ABELLADOFAXINA HARDBUCK IZABELLADOFAXINA
DIESELGIRL METEORSTORM LETRAMAIUSCULA
GALASETERNAS NORWAYBOY LADYCALIOPE
BOLASETE PITUDAGUANABARA LADYHALO
LADYLEE SPRINGHALO NORALI
NORMANDIAXIS VOANDOBAIXO FACTUAL
DREAMOFGOLD HYPNOTISEUR GAROTADOURADA
QUEESPETACULO NORTHERNAFLEET CLAUSENEXPORT
XTERRA SULAMANI XALINDABIS
PLENTYOFKICKS CRIMSONTIDE PLENITURBO
TIRONOVENTO GREGORIANO GRANBINA
BOLADO MUSICPROSPECTOR BOLONHA
ASPENMIX SULAMANI SHAPELYGIRL
ZAO SULAMANI VITORIAREGIA
KAFUNEDEBIRIGUI BANKING VILAREAL
JUDY CRIMSONTIDE LADIABOLICA
FEMMEFATAL HOLZMEISTER INTISAB
VEMBACKER PUBLICPURSE IASMINNORMAND
VERANEIO SIGNALTAP PERSONALENSIGN
FELIPEWAY SPECIALNASH UIVONOTURNO
FURIADOARTICO BOATMAN HIROSHIMAROSE
JOEGERE CHRISTINESOUTLAW ABORDADA
PONTOCERTO ESPORADEOURO FASTFAMILY
APPLAUSE REDATTORE LACCIARELLA
FUGACITY SULAMANI THIFTY
ZEFINHA TORRENTIAL NAUGHTYNOTIONS
LAHICKMANNVISTA CHOCTAWRIDGE GERMANYIN
THUNDERSTONE DURBANTHUNDER PEDRAPRECIOSA
PEGPAG INEXPLICABLE HILLSIDE
VAGAREZAQUEEN DODGE OPERAPOP
OLYMPICFOXY ONWARDROYAL SPECIALFOXY
VALETPARK SIGNALTAP ROSEFORPENNY
IRONMAN SKICHAMP UNIVERSALLADY
NOTICIARIO TOPSIZE SALDAMA
LONDONMOONF WILDEVENT BULLETPOINT
DIARIOSECRETO NEDAWI LADUANA
UNEAUTREETOILE NORTHERNAFLEET KENDESARON
LUCKYSTAR REDATTORE TINAJERA
CHINTAMANI SULAMANI EXPRESSAO
PACE THOMPSONROUGE FACETOFACE
COUNTESSOFKENT DRFONG CAMEOROLE
FLORALBOUQUET FAHIM JOANNAWHO
DONADABELEZA HOLZMEISTER PIERSEVENTEEN
THISISATHUNDER DURBANTHUNDER THISISADREAM
CATALYST HIBERNIANRHAPSODY PURPLEVIOLET
ROMEOMONTECCHI INEXPLICABLE DUCHAESCOCESA
LINATE NEDAWI GUERLAIN
QUENOBREZAARG NEDAWI XENDAVAL
BALLCAT PUBLICPURSE LAZIZA
MRANGRA ROMARIN ANGRA
VESPERTINE SIGNALTAP PRESERVATION
LEOPARDOVELOZ SULAMANI LENANA
LACOPACO TIGERHEART XERTINGY
VIEWFINDER WILDEVENT QUERENCA
LONDONNEWS DUBAIDUST CHRISLADY
ORBETELLO ONWARDROYAL JAANIK
MISSDIOR SPECIALNASH HAPPYPRINCESS
QUESTALAFRE THIGNONLAFRE FROMTHENIGHT
PALUDA AMIGONI OUTRAMAIS
SERGIODELORENA DODGE GOLPEADORA
FOGODEFE NEDAWI XIANGVI
PERSONALDOT NOTFORSALE PERSONALRIGHT
FLOWERSPECIAL SPECIALNASH ZONARAPIDA
THUNDERFANTASY DURBANTHUNDER FANTASYISLAND
CORACAODOOCEANO NORWAYBOY VENCEDORAGOLD
ESPECTROSOLARARG OUREMBLEM TODASASFLORES
CHOREOGRAPH SULAMANI CRAZYJET
TRICKYTHUNDER DURBANTHUNDER FLITTERWOCHEN
VENTOEMPOPA NORTHERNAFLEET DURALEXSEDLEX
LONELYKING GIANTGENTLEMAN FAISCADOURADA
FLIPPERSGAIS QAIS SLAMOFROYALTY
FRUCTUSGRAVIS SPECIALNASH ZARUTTI
DEBOCAEMBOCA CRIMSONTIDE HANOVERIAN
AMADODOFAXINA JUMPINGJACK LEONORADOFAXINA
TRICKYINDY PTINDY FLORDOBLITZ
FETICHEGAIS QAIS GOTCHA
ESTRELAMAGISTIC REDRUNNER NEOLOGY
ONSTAGE ROMARIN ONLYIMMENSITY
DUPLACASUAL TOPSIZE PRETTYIMMENSITY
MRFANTASY FIRSTAMERICAN HITTHEGOLD
UNEFLEURDETE KNOWHEIGHTS NORTHERNFLOWER
ZEEREAL MUSICPROSPECTOR MARINHAREAL
TOPINDY PTINDY HAILGLORY
VOLTAGEMALTA WILDEVENT EXFACTO
INDIADAFRONTEIRA BONAPARTISTE VENITZA
TERESAJUR EYJUR TERESAFIGHTER
SIRJACKSON FANTASTICDANCER SIXTYSIX
QUEFENOMENO NORTHERNAFLEET PRINCESADOOESTE
LUTADAGUANABARA SHUDANZ SETADAGUANABARA
GIGOLO SULAMANI STARINA
TRUEBROWN TRUECONFIDENCE AMORDEMORENA
KATIVANTE AMIGONI VOSSOROCA
PERSONALIDADE DESEJADO GLACIALEYES
ZSAZSA FANTASTICDANCER FELICIDAD
BLACKPALOMA JACKBLACKBOY MYBLUEHEAVEN
LASVENTANAS NEDAWI FORFREEDOM
QUEPASA NORTHERNAFLEET KETRI
UNEPEINTURE ROMARIN ESPANHOLAMIA
RAMONKIDS COAXMECLYDE LADYCICARELLI
FABERGER CRIMSONTIDE VITORIOSA
GHOULHUNTER CRIMSONTIDE TALENTEDGIRL
AMORETHUNDER DURBANTHUNDER PTGOLD
TARAMBOIA DURBANTHUNDER OLTEN
LADYGRACE GIANTGENTLEMAN MARYLINGRACE
QUEREREPODER NORTHERNAFLEET BYZANGE
ZAMULA PUBLICPURSE MURUPITA
ENERGIADALVA ALPHABETSOUP CRYSTALDAY
GODSENTANGEL CRIMSONTIDE BLUSHINGDANCER
CABIDELA DURBANTHUNDER SILVERCUT
EAGLEGRIT NORBA PINACOLADA
LAGRIMAPREVISTA PUBLICPURSE MODELOMANEQUIM
FELIPECRACK SPECIALNASH SOLAMENTEMUJER
FRUTELLA SPECIALNASH OVERRUN
SULLOVE SULAMANI RICCIOLINA
ZAGOON SULAMANI NAOMI
TOMUCHLARK EYJUR DEMAISLARK
TIROCERTO GREGORIANO MOVIMENTOSEXY
WORLDSHOW KAHYASIN ONAGATA
SODERAIVA WONDERTROSS ROYALEMOTION
LEMANS AMIGONI EXPERIMENTA
MRPAKARD AMADOFIGHTER MICKAIR
LABRIGADA KNOWHEIGHTS FOURSEASONS
OLYMPICGARDEN SHUDANZ GARDENLOVER
EBONYJEWEL YAGLI IBOPE
KARADEBIRIGUI BANKING LOVELYMINISTER
ZEPELLIM DUBAIDUST QUEENOFTIJUCAS
TURBINADEJATO DURBANTHUNDER HACKER
HONFLEUR IBERO NHACANA
BELLESOBERANA JACKBLACKBOY SOBERANAFIGHTER
JEWELOFLEMA MUSICPROSPECTOR JEWELOFDUBAI
LACROISETTE NEDAWI GUIRLANDA
AYUMI ONWARDROYAL IXORA
DOMINATORE PUBLICPURSE OLARIE
LAGATITA PUBLICPURSE AMAZONSRAGE
NEIGHFIELD BOATMAN MARNEDEMARSEILLE
PASTURA CHILDLIKE REGIAPASTORA
THUNDERTIME DURBANTHUNDER PLENTYOFTIMETOWIN
TOPMOST DURBANTHUNDER ZORRACAICADA
AMABILE FAHIM HARDKIT
TIRANOFLY FALCONFLY ZIMANCHE
PALMSPRING GIANTGENTLEMAN JOGADAFATAL
ZEALOT REDATTORE MERGELLINA
LAPLACE SHUDANZ CARLOTA
GORGEOUSCONTESSA CRIMSONTIDE BAREFOOTCONTESSA
JUSTSPEEDY FAHIM ALWAYSAMOMENT
SOYAMERICAN FIRSTAMERICAN SHAREDINTEREST
DOMDINO INEXPLICABLE EASYTOUCH
CAPDOR SULAMANI CANZONEPERTE
ZACK TIGERHEART GIGIDAMANGUEIRA
DISCOMUSIC TORRENTIAL VLATAVA
CAINDONAREAL AMIGONI LADICHA
EKOVANTCH BOATMAN KHOVANTCHINA
THUNDERGRACE DURBANTHUNDER ESTADODEGRACA
ULTIMATEHEIGHTS KNOWHEIGHTS ONTEMHOJEESEMPRE
SANTIAGODELORENA POURHENRI VIRAVIRA
OVERESTIMATE ROMARIN OVERSIGHT
ESTRELADAINDIA AMIGONI BRIGITDAWI
LASSU BONAPARTISTE ENROLADA
PODIUM MAJORSTORM FUGACERTA
GOLDSEAL PUBLICPURSE FANCYLADY
DEPOISEUVOU CHOCTAWRIDGE VITORIACAROLINA
ROOSEROCKYN COAXMECLYDE JETTORI
ABSINTO DODGE CANOPY
DINASTIAPERSA HOLZMEISTER LEAGUE
BLADETOPDIJOB JOBDICAROLINE TOPBLADE
URLOVELY NORTHERNAFLEET LOVETHATHILL
CLARIDGE PUBLICPURSE JUNGLEFILLY
JOYFULRIDE SKICHAMP JOYLUCKCLUB
BACKPACK SULAMANI BEFUNNY
ABALOSISMICO DUBAIDUST OMAHA
DUCHESSDRIVE DURBANTHUNDER SANGRELATINA
VECCHIALUNA PUBLICPURSE TROPICALMOON
BWANAHEIGHTS KNOWHEIGHTS BOANA
LINENSE REDRUNNER DAFLAN
BYBLOS SHUDANZ MINERVAGARDEN
ARTEQUESTION TIGERHEART OTHERQUESTION
VERTICALLIMIT WILDEVENT PIROETTA
CAAPUA FAHIM YEKATERINA
ESTRELAPREMIUM HOLZMEISTER JETTA
MAGICCAT MIDDLEBURGSDREAM LAAMANDA
DOCTORSTOKE REDATTORE GREYSTOKE
VIPSTAR WILDEVENT ISTAR
JOINTCHIEF YAGLI JOINTDEGREE
QUAQUAQUA AMIGONI LEFTHANDED
PATASDEFOGO BANKING CORREDORADEPRATA
GORGEOUSRUNNER CRIMSONTIDE QUAKESMELL
MONTECRISTO FANTASTICDANCER RARITE
VIELMOND KNOWHEIGHTS TOTAP
VITELA KNOWHEIGHTS DISNEYDREAM
SWIPETHEPURSE PUBLICPURSE SWEETSURRENDER
LINHADOIS QAIS LANANDA
THUNDERANGEL DURBANTHUNDER NIGHTANGEL
EMERALDLARK GOINGAWAY SERENATALARK
MEGLINDA KNOWHEIGHTS ROYALLAKE
VALVATI NORWAYBOY INTREPIDAPANGA
VIENNAPURSE PUBLICPURSE HEAVENLYBAND
KAKADEBIRIGUI BANKING PORUNACABEZA
ZIPPY CHOCTAWRIDGE DREAMSOFBAFRA
VILLANUEVA DODGE MAIDAMERICAN
GATOMALO DUBAIDUST GUAPAMOZA
QUEBUCK HARDBUCK LIGADAVITORIA
BOBSPONGE PUBLICPURSE TRICKYSTICKY
HAGACHAMP SKICHAMP VESSETIKA
INVICTUS SULAMANI GETBACK
VIAEXPRESSA THUNDERGULCH OKLAHOMAGIRL
VECHIAGUARDIA WILDEVENT ZEZEARUMBA
JOEOWEN CHRISTINESOUTLAW SWISSBEAUTY
ALEGORIA INEXPLICABLE GUARATUBA
JOEMANAGERARG LODE SEMMAE
MODACIGANA NEDAWI MODADEVIOLA
TEMBERATI SPRINGHALO LATITUDE
UNIQUECARINA WILDEVENT FEMMEFATALE
VIPMUZTAZ WILDEVENT MUZTAZISBACK
FARANOVARESE INEXPLICABLE AVENALE
UNDERGRADE MUITOMELHOR LOIRALINDA
SONHOOLIMPICOARG NEDAWI CANARINHA
DESEJADAAFLEET NORTHERNAFLEET GLORIOUSMAGEE
QUESTAAFLEET NORTHERNAFLEET DAMELIA
MISSGRACE PLAYVIOLIN VIVANCITE
KOMANDANTEKIRK REDATTORE FOREVERDARLING
IAQUINTA ROMARIN GRAXA
DOCEMISTERIO DANCERMAN PRIVATEBEGOOD
THEWAY EYJUR NADAMAL
ARQUITETONERO OUREMBLEM DEBORAHKERR
INCARULER AYCARAMBA DEARPAT
TINAANISTON CHRISTINESOUTLAW KLARAMISS
TOMAHAWKFLY FALCONFLY FLOWERCHRIS
KIDBUCK HARDBUCK KORALLE
DIADOSNAMORADOS METEORSTORM RUEDERENNES
QUALITYCONTROL NORTHERNAFLEET GUERRILHEIRA
LEVEPARAVOAR AMIGONI DEUSADOOLIMPO
HEARTTOHEART NEDAWI ANDIE
QUIBAO NORTHERNAFLEET ESTRELASUREÑA
REDPOLKADOTS ROMARIN REDDANCER
QUANTAFESTA THUNDERGULCH MAFRODITE
VANUALEVU WILDEVENT NATLA
ZUCCO CHOCTAWRIDGE NEVEETERNA
ZANZIBARLOVE KNOWHEIGHTS IMME
SNAKE NERGYBOY DUQUESASELLER
LICORDOCE REDRUNNER CATMELODY
FELIPETHEKING SPECIALNASH TAIPEI
JARDINSDOCEU WILDEVENT CORESDOCEU
TIKATCHE AMIGONI NACCHERA
VAMONESSA CHESSCHAMP VAMBORA
GETFIRST FIRSTAMERICAN GETTHEPOINT
LAFLEUR PUBLICPURSE MAGICSTORM
VUOLESOLDI PUBLICPURSE LUNAACCESA
AMANDITA CONFIDENTIALTALK VALDOSTANA
URSODEOURO KNOWHEIGHTS LARISOTA
ZARATRUSTA SULAMANI PELADA
QUINTASEMLEI THUNDERGULCH VACILACAO
DONODAVERDADE DURBANTHUNDER LADYMIDNIGHT
WESTMINSTERSTAR HIBERNIANRHAPSODY HYDREROYALE
GIULIETTACAPULETI INEXPLICABLE VOCEELINDA
ESTANCIEIRAMORE MORESTYLE RAPRAP
QUEBONITOE NORTHERNAFLEET CLARAAGAIN
LILLYSPRING TIGERHEART DARDIERE
DAPESADA NEDAWI LOCALMAID
COMPULSIVE SULAMANI CYBILL
TINAPFEIFFER CHRISTINESOUTLAW ABOVEQUEEN
OLYMPICRIDGE CRIMSONTIDE PAOLACRISPI
RACABISCUIT HOLZMEISTER RACANEGRA
DISTRITOPOLICIAL METEORSTORM SHININGBEACON
AQUIMANDAEU NUGGETDOFAXINA QUEMMANDAAQUI
WELLROUGE THOMPSONROUGE HOTBEGOOD
VINCITA DODGE BEAUTIFULCAROL
AVACANOERO MRTIME OVERLIGHT
UNALTRARAFAELA NORTHERNAFLEET QUEENDESEJADA
PAULINHO REDATTORE ALLINESTAR
FASTFONTANA SPECIALNASH XERICA
VONOTTO ABOVETHESKY DANDELION
JAMEFUI DUBAIDUST TRANSGENICA
LSCALE NEDAWI AFAIRDAMOUR
PAVILLONDEGLOIRE PAVILLON REVEDEGLOIRE
HOLOGRAMA SKICHAMP AMEACAACADEMICA
CORPOCELESTE AMIGONI LAGINGER
ZALMAN ARACAI SULAMERICANA
THUNDERGLITTER DURBANTHUNDER GLITTERGLORY
TIACORAL HARDBUCK LEXINGTONBEAUTY
PATERNOSTR CHILDLIKE FLORENCEGRIFFITH
AGUASDEMARCO FAHIM MEDINAGLORY
VEREKER FAHIM VIVIPATY
UMSEGREDO NEDAWI FEITICEIRAREGINA
INIESTA SKICHAMP MAMBOQUEEN
WYATTEARP AMIGONI PERSIFLEUR
DALHEPROVIDENCIA EDOSUL MAMISELLER
DTRAZ FAHIM HIPARCA
UPPERDIVISION KALIDANZ ESTRELADA
DOBARULHO NEDAWI HALFPENNY
BERLINODITIGER TIGERHEART RAINHADABATERIA
VARIETYLADY WILDEVENT SPECIALLADY
ANNAJUSTI AMIGONI ANNACISEI
KISSMEDEAR BERNSTEIN KISSMESWEET
NATIVO BOATMAN COLMEIA
PRIORITYONE PEINTRECELEBRE PRIORAT
ALMADARAIA ROMARIN ALMACAMPEA
PIPASOLTA DANCERMAN PIPAVOADA
IUVENTUS DURBANTHUNDER ENABLETOLOOSE
THUNDERBETTER DURBANTHUNDER NEVERSEEBETTER
ZEALAND MUSICPROSPECTOR QUINTAREDEA
VIRGINPRINCESS PUBLICPURSE OLDPRINCESS
GIPSYBULLET ROMARIN GLAURA
LOVELYPINK UYBURU CRAYOLLA
BELLATRIXREGALIS HARDBUCK INCLOUDS
QUALIDADEMAXIMA NEDAWI ILHABELA
PRIMAVERIL REDRUNNER DUCHESSENOIRE
XAINXA THUNDERGULCH XABEGA
ZEZEU WONDERTROSS REPEATRAFAELA
JOEBERGER CHRISTINESOUTLAW LITURGIA
TCHAUGIRL DURBANTHUNDER HEYGIRL
LUSINGADAMORE FAHIM ZOAFIGHTER
LAMPEJOLUPIN GREGORIANO ITAQUERELUCKY
TALO NEWYORK FORCEPROSPECTOR
DELTADOPARK REDRUNNER NHARASTANI
LIMITROF TIGERHEART CAPITEUSE
CUOREVALENTE GIANTGENTLEMAN TWOPEOPLE
SEMEXPLICACAO INEXPLICABLE CRY
